id,categoria,precio,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,meses_transcurridos,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,url
76,E3,835000,"Casa en Venta Col. La Morena, Tulancingo de Bravo, Hidalgo",140,140,5964.285714285715,5964.285714285715,8,Casa,Venta,0,3,2,0,2.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-e34bd5879d4-99d7-c5e49891-8b18-4050
77,E3,812300,EXCELENTE OPORTUNIDAD DE OBTENER ESTE INMUEBLE A UN PRECIO MUY BAJO,189,180,4297.883597883598,4512.777777777777,1,Casa,Venta,1,3,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-2707d9c9af08-647d-3f12f29e-a72f-47a8
78,E3,802390,MAR!!! VENTA DE DEPARTAMENTO DE RECUPERACION BANCARIA ZONA DE EN PACHUCA DE SOTO,60,60,13373.166666666666,13373.166666666666,1,Departamento,Venta,1,2,1,0,1.0,No,Cabañitas,0,https://www.lamudi.com.mx//detalle/41032-73-837d5ea9d61c-f60b-ee94c8cb-966b-4681
79,E3,800000,AMPLIA CASA EN TULANCINGO,330,230,2424.242424242424,3478.260869565217,12,Casa,Venta,1,4,2,0,2.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-631aa1a8e8a6-59b-d8b85be5-a436-3c4f
80,E3,799000,PROPIEDAD EN OPORTUNIDAD EN COL. NUEVO TULANCINGO,119,200,6714.285714285715,3995.0,6,Casa,Venta,1,0,0,0,0.0,No,Nuevo Tulancingo,0,https://www.lamudi.com.mx//detalle/41032-73-5b3bf28010f3-ec-c8c89156-bfdd-41ea
81,E3,790000,HERMOSA CASA EN VENTA EN FRACCIONAMIENTO RINCONADA LA MORENA EN TULANCINGO DE BRAVO EN HIDALGO,114,206,6929.824561403509,3834.95145631068,1,Casa,Venta,0,3,2,0,2.0,No,Los Sabinos,0,https://www.lamudi.com.mx//detalle/41032-73-540dcc266a05-e5af-52e04ab5-bf3d-4bff
82,E3,790000,"VENTA DE CASA EN TULANCINGO DE BRAVO, HIDALGO.",160,330,4937.5,2393.939393939394,2,Casa,Venta,1,4,1,0,1.0,No,Rinconada La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-21c7c9290e75-a25f-1562b92c-88df-48ae
83,,750000,VENTA DE DEPARTAMENTO CENTRICO EN PACHUCA,82,82,9146.341463414634,9146.341463414634,10,Departamento,Venta,0,1,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-ed1b3df977d0-f0af-e096e2ae-b253-4d63
84,,750000,"CASA EN VENTA - COL. RINCONADA LA MORENA, TULANCINGO",150,180,5000.0,4166.666666666667,6,Casa,Venta,0,3,1,0,1.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-1d94401d58d6-9c4d-e8ea114e-a7db-42c1
85,E2,737336,"GRAN OPORTUNIDAD BONITA CASA UBICADA EN CALLE FRANCISCO VILLA COL EL MIRADOR MPO TULANCINGO DE BRAVO HIDALGO, EXCELENTE PRECIO $737,336",120,120,6144.466666666666,6144.466666666666,1,Casa,Venta,1,3,1,0,1.0,No,Francisco I Madero,0,https://www.lamudi.com.mx//detalle/41032-73-788a516b9f13-c849-bf85cfe8-8c84-40b5
